Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Cortex,3.3117814339212554e-09,8.988366411690996e-10,0.00011456709088990146
Brain_Frontal_Cortex_(BA9),2.10693262004896e-09,8.593128479960118e-10,0.0071055877121186176
Brain_Anterior_cingulate_cortex_(BA24),1.5126323360542137e-09,7.726150438241216e-10,0.025126241091517808
Brain_Nucleus_accumbens_(basal_ganglia),1.1385263839338762e-09,9.424482005223815e-10,0.11351364072853515
Brain_Cerebellum,9.09326065906571e-10,9.822574075006836e-10,0.17728762218736666
Brain_Hippocampus,3.338334030397637e-10,8.376297704131379e-10,0.3451141389099917
Brain_Putamen_(basal_ganglia),3.1590717886123586e-10,9.121120757630629e-10,0.36454101753784307
Brain_Cerebellar_Hemisphere,2.632633275825046e-10,8.951039470521288e-10,0.38433508707978603
Brain_Amygdala,1.4010502931253082e-10,7.922106445083529e-10,0.42981182932353856
Brain_Caudate_(basal_ganglia),-1.0466382177951865e-10,8.518762335158195e-10,0.5488920921251655
Brain_Spinal_cord_(cervical_c-1),-3.1647924059121566e-10,8.896242642034304e-10,0.6389841689253826
Brain_Hypothalamus,-9.177329492870958e-10,8.990809323202234e-10,0.8463125194647232
Brain_Substantia_nigra,-1.12892151933114e-09,8.285564066528177e-10,0.913482481030923
