Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Frontal_Cortex_(BA9),2.9707466686169637e-09,2.9883734749944107e-09,0.16008671825377735
Brain_Anterior_cingulate_cortex_(BA24),4.247001543596488e-09,4.451482054114015e-09,0.17002546627321136
Brain_Spinal_cord_(cervical_c-1),2.376820631885124e-09,2.5890448747733933e-09,0.17930160373726073
Brain_Putamen_(basal_ganglia),6.139108755482721e-09,6.709008842581223e-09,0.18008150891929653
Brain_Substantia_nigra,2.4959989104395377e-09,3.517479689646919e-09,0.2389765222305798
Brain_Caudate_(basal_ganglia),2.8276016803816108e-09,5.562513493007699e-09,0.30561038762176695
Brain_Cortex,9.159924834370405e-10,1.9025182736016314e-09,0.3150936739744494
Brain_Hippocampus,1.5286248825011736e-10,2.2151987166625033e-09,0.47249233454182127
Brain_Cerebellum,-1.440046562477031e-10,3.6511068239991392e-09,0.5157307515872673
Brain_Cerebellar_Hemisphere,-1.9200814113111215e-09,3.168618887713225e-09,0.727731973584987
Brain_Nucleus_accumbens_(basal_ganglia),-1.8448651445073776e-09,2.1600768025727e-09,0.8034679682901554
Brain_Amygdala,-3.1732411960364686e-09,2.1103861220368395e-09,0.9336617489572556
Brain_Hypothalamus,-4.0999662498608495e-09,2.2091328998948028e-09,0.9682672712462154
