Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Cortex,3.287792169214522e-09,8.883655794134988e-10,0.00010739900765410618
Brain_Frontal_Cortex_(BA9),2.097500795502292e-09,8.489977554885099e-10,0.006745064323829293
Brain_Anterior_cingulate_cortex_(BA24),1.5075396460459053e-09,7.730099297254656e-10,0.025574934475700292
Brain_Nucleus_accumbens_(basal_ganglia),1.143870056059224e-09,9.42753636797717e-10,0.11250208480985985
Brain_Cerebellum,8.920714488048896e-10,9.916018072946187e-10,0.1841594750933898
Brain_Hippocampus,3.382640466810362e-10,8.176425298210243e-10,0.33954452529953005
Brain_Putamen_(basal_ganglia),3.3035760371245265e-10,9.165140333153948e-10,0.35925527153030173
Brain_Cerebellar_Hemisphere,2.363704170585568e-10,8.970969289674164e-10,0.39608889311901807
Brain_Amygdala,1.4638768140326427e-10,7.730088423005477e-10,0.42489989858118277
Brain_Caudate_(basal_ganglia),-1.0132111995584024e-10,8.585994643670499e-10,0.5469691163714518
Brain_Spinal_cord_(cervical_c-1),-3.262994190502883e-10,8.891055887133351e-10,0.6431895127710923
Brain_Hypothalamus,-9.19946550266735e-10,8.94089626591499e-10,0.8482413263706869
Brain_Substantia_nigra,-1.1234913170817735e-09,8.263055537501598e-10,0.9130305985001055
