Name,Coefficient,Coefficient_std_error,Coefficient_P_value
Brain_Cortex,3.27938073064393e-09,8.854347421009878e-10,0.00010624061605844269
Brain_Frontal_Cortex_(BA9),2.099937815150632e-09,8.500747438650851e-10,0.00675002971784388
Brain_Anterior_cingulate_cortex_(BA24),1.5015449247103367e-09,7.705236211964925e-10,0.0256636502894899
Brain_Nucleus_accumbens_(basal_ganglia),1.1442721559880683e-09,9.411497950442953e-10,0.11202605845076397
Brain_Cerebellum,8.97214911956746e-10,9.923247392144158e-10,0.18295673248387606
Brain_Hippocampus,3.3307981128120783e-10,8.131349109499595e-10,0.3410407876018122
Brain_Putamen_(basal_ganglia),3.291699425878653e-10,9.143861517587807e-10,0.3594272765276122
Brain_Cerebellar_Hemisphere,2.456861136850216e-10,8.952858268783489e-10,0.3918801748739774
Brain_Amygdala,1.4252121140260054e-10,7.707549501781337e-10,0.4266493488464956
Brain_Caudate_(basal_ganglia),-9.717256592027719e-11,8.594928939569399e-10,0.545007722158609
Brain_Spinal_cord_(cervical_c-1),-3.263529971194663e-10,8.874246244519015e-10,0.6434712616047712
Brain_Hypothalamus,-9.204264324708104e-10,9.011675560426096e-10,0.8464606566799765
Brain_Substantia_nigra,-1.126503348211936e-09,8.329969181614798e-10,0.9118683052708174
