analyte,seq_id,uniprot,entrez_gene_symbol,target_full_name,accession
X10000.28,10000-28,P43320,CRYBB2,Beta-crystallin B2,GCST90421033
X10001.7,10001-7,P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase,GCST90421034
X10003.15,10003-15,P51814,ZNF41,Zinc finger protein 41,GCST90421035
X10006.25,10006-25,P19419,ELK1,ETS domain-containing protein Elk-1,GCST90421036
X10008.43,10008-43,P43080,GUCA1A,Guanylyl cyclase-activating protein 1,GCST90421037
X10010.10,10010-10,Q14457,BECN1,Beclin-1,GCST90421038
X10011.65,10011-65,Q01968,OCRL,Inositol polyphosphate 5-phosphatase OCRL-1,GCST90421039
X10012.5,10012-5,O95238,SPDEF,SAM pointed domain-containing Ets transcription factor,GCST90421040
X10014.31,10014-31,O43623,SNAI2,Zinc finger protein SNAI2,GCST90421041
X10015.119,10015-119,Q13303,KCNAB2,Voltage-gated potassium channel subunit beta-2,GCST90421042
X10022.207,10022-207,Q9Y253,POLH,DNA polymerase eta,GCST90421043
X10023.32,10023-32,P11473,VDR,Vitamin D3 receptor,GCST90421044
X10024.44,10024-44,Q86XE5,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",GCST90421045
X10025.1,10025-1,P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial",GCST90421046
X10030.8,10030-8,Q9UIF7,MUTYH,Adenine DNA glycosylase,GCST90421047
X10035.6,10035-6,Q13115,DUSP4,Dual specificity protein phosphatase 4,GCST90421048
X10037.98,10037-98,Q96PQ1,SIGLEC12,"Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long",GCST90421049
X10039.32,10039-32,P00491,PNP,Purine nucleoside phosphorylase,GCST90421050
X10040.63,10040-63,Q9H3D4,TP63,Tumor protein 63,GCST90421051
X10041.3,10041-3,P41235,HNF4A,Hepatocyte nuclear factor 4-alpha,GCST90421052
X10042.8,10042-8,Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3,GCST90421053
X10043.31,10043-31,O60885,BRD4,Bromodomain-containing protein 4,GCST90421054
X10045.47,10045-47,Q13618,CUL3,Cullin-3,GCST90421055
X10046.55,10046-55,Q13490,BIRC2,Baculoviral IAP repeat-containing protein 2,GCST90421056
X10047.12,10047-12,P19878,NCF2,Neutrophil cytosol factor 2,GCST90421057
X10048.7,10048-7,Q13951,CBFB,Core-binding factor subunit beta,GCST90421058
X10049.112,10049-112,P54274,TERF1,Telomeric repeat-binding factor 1,GCST90421059
X10053.5,10053-5,Q13418,ILK,Integrin-linked protein kinase,GCST90421060
X10054.3,10054-3,Q9H2C0,GAN,Gigaxonin,GCST90421061
X10056.5,10056-5,Q08050,FOXM1,Forkhead box protein M1,GCST90421062
X10058.1,10058-1,P54725,RAD23A,UV excision repair protein RAD23 homolog A,GCST90421063
X10063.10,10063-10,Q9NW38,FANCL,E3 ubiquitin-protein ligase FANCL,GCST90421064
X10064.12,10064-12,O75884,RBBP9,Putative hydrolase RBBP9,GCST90421065
X10069.2,10069-2,Q13526,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,GCST90421066
X10070.22,10070-22,P16885,PLCG2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",GCST90421067
X10073.22,10073-22,Q9NUW8,TDP1,Tyrosyl-DNA phosphodiesterase 1,GCST90421068
X10074.128,10074-128,P25440,BRD2,Bromodomain-containing protein 2,GCST90421069
X10075.75,10075-75,Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6,GCST90421070
X10076.1,10076-1,O00189,AP4M1,AP-4 complex subunit mu-1,GCST90421071
X10078.5,10078-5,O95817,BAG3,BAG family molecular chaperone regulator 3,GCST90421072
X10080.9,10080-9,Q14232,EIF2B1,Translation initiation factor eIF-2B subunit alpha,GCST90421073
X10081.17,10081-17,Q9UPW6,SATB2,DNA-binding protein SATB2,GCST90421074
X10082.251,10082-251,P07196,NEFL,Neurofilament light polypeptide,GCST90421075
X10085.25,10085-25,P49675,STAR,"Steroidogenic acute regulatory protein, mitochondrial",GCST90421076
X10086.39,10086-39,P35520,CBS,Cystathionine beta-synthase,GCST90421077
X10087.10,10087-10,P02489,CRYAA,Alpha-crystallin A chain,GCST90421078
X10088.37,10088-37,P07741,APRT,Adenine phosphoribosyltransferase,GCST90421079
X10089.7,10089-7,O95671,ASMTL,N-acetylserotonin O-methyltransferase-like protein,GCST90421080
X10336.3,10336-3,Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP,GCST90421081
X10339.48,10339-48,P09104,ENO2,Gamma-enolase,GCST90421082
X10342.55,10342-55,Q8N2W9,PIAS4,E3 SUMO-protein ligase PIAS4,GCST90421083
X10346.5,10346-5,P40763,STAT3,Signal transducer and activator of transcription 3,GCST90421084
X10351.51,10351-51,P10914,IRF1,Interferon regulatory factor 1,GCST90421085
X10354.57,10354-57,P40763,STAT3,Signal transducer and activator of transcription 3,GCST90421086
