gene,uniprot,oid,version,panel,synapse_id,filename
A1BG,P04217,OID30771,v1,Inflammation_II,syn52359450,A1BG_P04217_OID30771_v1_Inflammation_II.tar
AAMDC,Q9H7C9,OID30236,v1,Cardiometabolic_II,syn52355730,AAMDC_Q9H7C9_OID30236_v1_Cardiometabolic_II.tar
AARSD1,Q9BTE6,OID21311,v1,Oncology,syn51495918,AARSD1_Q9BTE6_OID21311_v1_Oncology.tar
ABCA2,Q9BZC7,OID30146,v1,Cardiometabolic_II,syn52331599,ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II.tar
ABHD14B,Q96IU4,OID20921,v1,Neurology,syn51483243,ABHD14B_Q96IU4_OID20921_v1_Neurology.tar
ABL1,P00519,OID21280,v1,Oncology,syn51475899,ABL1_P00519_OID21280_v1_Oncology.tar
ABO,P16442,OID30675,v1,Inflammation_II,syn52359350,ABO_P16442_OID30675_v1_Inflammation_II.tar
ABRAXAS2,Q15018,OID30130,v1,Cardiometabolic_II,syn52358068,ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II.tar
ACAA1,P09110,OID21269,v1,Oncology,syn51495944,ACAA1_P09110_OID21269_v1_Oncology.tar
ACADM,P11310,OID31277,v1,Oncology_II,syn52333818,ACADM_P11310_OID31277_v1_Oncology_II.tar
ACADSB,P45954,OID30356,v1,Cardiometabolic_II,syn52331554,ACADSB_P45954_OID30356_v1_Cardiometabolic_II.tar
ACAN,P16112,OID20159,v1,Cardiometabolic,syn51482488,ACAN_P16112_OID20159_v1_Cardiometabolic.tar
ACE,P12821,OID30696,v1,Inflammation_II,syn52331978,ACE_P12821_OID30696_v1_Inflammation_II.tar
ACE2,Q9BYF1,OID20105,v1,Cardiometabolic,syn51483729,ACE2_Q9BYF1_OID20105_v1_Cardiometabolic.tar
ACHE,P22303,OID30585,v1,Inflammation_II,syn52356788,ACHE_P22303_OID30585_v1_Inflammation_II.tar
ACOT13,Q9NPJ3,OID31522,v1,Oncology_II,syn52356154,ACOT13_Q9NPJ3_OID31522_v1_Oncology_II.tar
ACOX1,Q15067,OID20124,v1,Cardiometabolic,syn51476003,ACOX1_Q15067_OID20124_v1_Cardiometabolic.tar
ACP1,P24666,OID30524,v1,Inflammation_II,syn52355842,ACP1_P24666_OID30524_v1_Inflammation_II.tar
ACP5,P13686,OID20314,v1,Cardiometabolic,syn51489706,ACP5_P13686_OID20314_v1_Cardiometabolic.tar
ACP6,Q9NPH0,OID21432,v1,Oncology,syn51489606,ACP6_Q9NPH0_OID21432_v1_Oncology.tar
ACRBP,Q8NEB7,OID31385,v1,Oncology_II,syn52359447,ACRBP_Q8NEB7_OID31385_v1_Oncology_II.tar
ACRV1,P26436,OID30513,v1,Inflammation_II,syn52334083,ACRV1_P26436_OID30513_v1_Inflammation_II.tar
ACSL1,P33121,OID30080,v1,Cardiometabolic_II,syn52334522,ACSL1_P33121_OID30080_v1_Cardiometabolic_II.tar
ACTA2,P62736,OID20079,v1,Cardiometabolic,syn51476454,ACTA2_P62736_OID20079_v1_Cardiometabolic.tar
ACTN2,P35609,OID30192,v1,Cardiometabolic_II,syn52358180,ACTN2_P35609_OID30192_v1_Cardiometabolic_II.tar
ACTN4,O43707,OID20435,v1,Inflammation,syn51476202,ACTN4_O43707_OID20435_v1_Inflammation.tar
ACVRL1,P37023,OID20999,v1,Neurology,syn51476065,ACVRL1_P37023_OID20999_v1_Neurology.tar
ACY1,Q03154,OID20137,v1,Cardiometabolic,syn51483332,ACY1_Q03154_OID20137_v1_Cardiometabolic.tar
ACY3,Q96HD9,OID30086,v1,Cardiometabolic_II,syn52333367,ACY3_Q96HD9_OID30086_v1_Cardiometabolic_II.tar
